month,cool_days,hot_days,demand,imports,exports,rig_count,supply,storage,wti_price,heating_oil,usd_rate,gas_price
2005-03,14.0,647.0,2205787.0,379650.0,96220.0,1118.0,1687347.0,5484332.0,54.19,1.556,0.75757,6.96
2005-04,25.0,315.0,1724877.0,326147.0,55538.0,1163.0,1614614.0,5699060.0,52.98,1.523,0.772585,7.16
2005-05,83.0,192.0,1522613.0,333997.0,58944.0,1170.0,1652081.0,6075521.0,49.83,1.413,0.787275,6.47
2005-06,244.0,31.0,1534122.0,321710.0,54807.0,1208.0,1611743.0,6398738.0,56.35,1.612,0.821699,7.18
2005-07,365.0,4.0,1686609.0,386093.0,55048.0,1226.0,1627427.0,6653209.0,59.0,1.64,0.831595,7.63
2005-08,345.0,8.0,1695102.0,351805.0,51987.0,1227.0,1619414.0,6865103.0,64.99,1.804,0.813199,9.53
2005-09,209.0,43.0,1422495.0,345907.0,43824.0,1236.0,1400941.0,7136424.0,65.59,1.963,0.81539,11.75
2005-10,56.0,243.0,1428227.0,366305.0,41025.0,1257.0,1475622.0,7400321.0,62.26,1.891,0.830923,13.42
2005-11,21.0,473.0,1663400.0,359387.0,44964.0,1228.0,1514407.0,7398295.0,58.32,1.689,0.848133,10.3
2005-12,6.0,863.0,2326360.0,408522.0,45272.0,1220.0,1592533.0,6835374.0,59.41,1.707,0.843222,13.05
2006-01,14.0,688.0,2165268.0,360316.0,55600.0,1228.0,1611000.0,6573119.0,65.49,1.751,0.82602,8.69
2006-02,6.0,724.0,2144378.0,321045.0,58766.0,1321.0,1450983.0,6088735.0,61.63,1.639,0.837126,7.54
2006-03,21.0,603.0,2126369.0,348293.0,69434.0,1305.0,1631383.0,5888675.0,62.69,1.777,0.832105,6.89
2006-04,55.0,275.0,1681005.0,332248.0,45181.0,1337.0,1570546.0,6143320.0,69.44,1.978,0.816108,7.16
2006-05,109.0,143.0,1526297.0,350535.0,62557.0,1373.0,1632139.0,6511653.0,70.84,1.972,0.783203,6.25
2006-06,233.0,26.0,1550879.0,348095.0,65708.0,1376.0,1614061.0,6831985.0,70.95,1.925,0.78944,6.21
2006-07,381.0,3.0,1758733.0,370925.0,58874.0,1379.0,1650313.0,6993053.0,74.41,1.935,0.787583,6.17
2006-08,329.0,12.0,1751683.0,364972.0,54739.0,1417.0,1656034.0,7181966.0,73.04,1.984,0.781065,7.14
2006-09,135.0,87.0,1462070.0,333514.0,52583.0,1429.0,1617442.0,7538548.0,63.8,1.699,0.785126,4.9
2006-10,47.0,311.0,1644231.0,334016.0,58904.0,1441.0,1675387.0,7669209.0,58.89,1.648,0.792394,5.85
2006-11,15.0,476.0,1765375.0,339118.0,69688.0,1414.0,1615322.0,7622511.0,59.08,1.648,0.776782,7.41
2006-12,13.0,692.0,2122784.0,383205.0,71923.0,1431.0,1685065.0,7280906.0,61.96,1.684,0.757058,6.73
2007-01,12.0,840.0,2475594.0,393140.0,69221.0,1440.0,1652470.0,6599227.0,54.51,1.528,0.769737,6.55
2007-02,7.0,840.0,2566993.0,372874.0,56539.0,1466.0,1513461.0,5867298.0,59.28,1.693,0.765053,8.0
2007-03,32.0,500.0,2128845.0,401779.0,77036.0,1461.0,1703085.0,5849891.0,60.44,1.742,0.755412,7.11
